
> auramax-web@0.1.0 dev
> next dev

▲ Next.js 16.1.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.50.50:3000

✓ Starting...
✓ Ready in 527ms
 GET /admin/audit-logs 200 in 231ms (compile: 135ms, render: 95ms)
 GET /admin 200 in 53ms (compile: 28ms, render: 24ms)
✓ Compiled in 302ms
 GET /login 200 in 318ms (compile: 304ms, render: 14ms)
✓ Compiled in 56ms
 GET /login 200 in 78ms (compile: 6ms, render: 72ms)
 GET /apple-touch-icon-precomposed.png 404 in 81ms (compile: 50ms, render: 31ms)
 GET /apple-touch-icon.png 404 in 19ms (compile: 1807µs, render: 17ms)
 GET /admin 200 in 40ms (compile: 30ms, render: 9ms)
 GET /admin/users 200 in 299ms (compile: 291ms, render: 8ms)
 GET /admin 200 in 10ms (compile: 3ms, render: 8ms)
 GET /admin/audit-logs 200 in 41ms (compile: 28ms, render: 12ms)
 GET /admin/users 200 in 8ms (compile: 2ms, render: 6ms)
 GET /admin/settings/system 200 in 179ms (compile: 171ms, render: 8ms)
 GET /admin/files 200 in 158ms (compile: 151ms, render: 7ms)
 GET /admin/files 200 in 81ms (compile: 8ms, render: 73ms)
 GET /admin 200 in 10ms (compile: 2ms, render: 7ms)
 GET /login 200 in 190ms (compile: 44ms, render: 146ms)
 GET /admin 200 in 131ms (compile: 28ms, render: 102ms)
 GET /admin 200 in 138ms (compile: 44ms, render: 94ms)
 GET /admin 200 in 97ms (compile: 9ms, render: 88ms)
 GET /admin 200 in 89ms (compile: 8ms, render: 82ms)
 GET /admin 200 in 84ms (compile: 10ms, render: 73ms)
 GET /admin 200 in 81ms (compile: 9ms, render: 71ms)
 GET /login 200 in 75ms (compile: 7ms, render: 68ms)
 GET /login 200 in 59ms (compile: 722µs, render: 58ms)
 GET /login 200 in 52ms (compile: 825µs, render: 51ms)
 GET /login 200 in 44ms (compile: 1175µs, render: 43ms)
 GET /login 200 in 33ms (compile: 840µs, render: 32ms)
 GET /login 200 in 27ms (compile: 1375µs, render: 26ms)
 GET /admin 200 in 16ms (compile: 1987µs, render: 14ms)
 GET /login 200 in 151ms (compile: 23ms, render: 128ms)
 GET /admin 200 in 122ms (compile: 23ms, render: 100ms)
 GET /admin 200 in 126ms (compile: 37ms, render: 89ms)
 GET /admin 200 in 91ms (compile: 8ms, render: 83ms)
 GET /admin 200 in 85ms (compile: 8ms, render: 77ms)
 GET /admin 200 in 79ms (compile: 10ms, render: 69ms)
 GET /admin 200 in 76ms (compile: 8ms, render: 67ms)
 GET /login 200 in 70ms (compile: 8ms, render: 63ms)
 GET /login 200 in 53ms (compile: 929µs, render: 52ms)
 GET /login 200 in 47ms (compile: 938µs, render: 46ms)
 GET /login 200 in 40ms (compile: 923µs, render: 39ms)
 GET /login 200 in 30ms (compile: 1282µs, render: 29ms)
 GET /login 200 in 23ms (compile: 1554µs, render: 21ms)
 GET /admin 200 in 15ms (compile: 2ms, render: 13ms)
✓ Compiled in 27ms
✓ Compiled in 25ms
 GET /login 200 in 177ms (compile: 38ms, render: 139ms)
